#Id, Latitude, Longitude, Diameter, Diameter_unc, Height, Height_unc, Direction, Time_interval, Horizontal_speed, Horizontal_speed_unc
1, 35.03, 200.28, 50, 13, 661, 132, 220, 52.8, 11.7, 1.0
2, 35.03, 200.27, 200, 50, 397, 79, 188, 54.6, 9.2, 1.0
3, 29.27, 273.33, 60, 15, 1204, 241, 66, 18.8, 18.6, 2.9
4, 27.06, 129.61, 200, 50, 1396, 279, 122, 47.1, 11.7, 1.1
5, 49.76, 22.15, 120, 30, 918, 184, 109, 2.6, 23.3, 21.0
6, 35.27, 201.28, 200, 50, 1298, 260, 198, 17.6, 10.2, 3.1
7, 37.90, 205.81, 120, 30, 366, 73, 208, 35.8, 9.8, 1.5
8, 36.73, 206.90, 25, 6, 701, 140, 155, 14.7, 9.9, 3.7
9, 36.69, 206.85, 50, 13, 192, 38, 126, 14.5, 10.3, 3.7
10, 36.69, 206.94, 70, 18, 618, 124, 181, 22.8, 6.1, 2.4
11, 35.35, 200.30, 70, 18, 597, 119, 182, 37.6, 12.5, 1.4
12, 35.26, 200.28, 100, 25, 704, 141, 198, 23.8, 16.4, 2.3
13, 35.56, 199.49, 280, 70, 895, 179, 125, 53.7, 12.3, 1.0
14, 34.32, 197.57, 75, 19, 188, 38, 87, 52.4, 3.8, 2.1
15, 34.10, 197.39, 75, 19, 175, 35, 104, 13.0, 15.4, 8.3
16, 34.00, 197.48, 75, 19, 183, 37, 75, 45.9, 9.2, 2.4
17, 33.98, 197.48, 75, 19, 259, 52, 82, 49.7, 8.0, 2.2
18, 24.05, 327.78, 50, 13, 134, 27, –, 1.1, –, -
19, 35.38, 200.13, 100, 25, 266, 53, 94, 43.8, 7.2, 2.5
20, 35.37, 200.25, 175, 44, 266, 53, 122, 35.6, 11.2, 3.0
21, 35.34, 200.26, 80, 20, 116, 23, 117, 28.1, 8.9, 3.8
22, 35.32, 200.95, 100, 25, 619, 124, 97, 22.1, 4.1, 4.9
23, 35.27, 200.35, 250, 63, 4413, 883, –, 2.2, –, -
24, 35.21, 200.21, 50, 13, 513, 103, 93, 18.1, 10.5, 6.0
25, 35.07, 200.22, 200, 50, 411, 82, 110, 55.0, 7.8, 2.0
26, 1.91, 350.32, 35, 9, –, -, 45, 2.8, 10.7, 38.5
27, 1.91, 350.31, 40, 10, 426, 85, –, 0.0, –, -
28, 68.35, 234.40, 150, 38, 1128, 226, 83, 58.6, 13.4, 0.9
29, 68.32, 234.46, 75, 19, 583, 117, 85, 45.1, 16.2, 1.2
30, 68.30, 234.14, 35, 9, 262, 52, 112, 44.1, 17.3, 1.2
31, 10.06, 83.09, 100, 25, 596, 119, 178, 54.5, 14.5, 1.0
32, 14.58, 175.57, 15, 4, 40, 8, 124, 22.8, 25.5, 4.7
33, 68.61, 11.43, 115, 29, 873, 175, 118, 6.2, 4.8, 8.7
34, 46.71, 141.25, 60, 15, 56, 11, 237, 11.3, 5.3, 9.5
35, 8.70, 254.67, 125, 31, 1097, 219, 29, 46.7, 19.5, 1.2
36, 34.73, 92.12, 75, 19, 1110, 222, 30, 40.1, 17.0, 1.3
37, 26.33, 315.58, 50, 13, 212, 42, 129, 19.0, 6.1, 2.8
38, 9.73, 316.07, 200, 50, 857, 171, 183, 49.4, 20.2, 1.1
39, 14.66, 175.54, 50, 25, 130, 26, 120, 34.2, 12.1, 1.6
40, 14.78, 320.78, 100, 25, 1433, 287, 189, 24.4, 16.8, 2.2
41, 24.22, 273.73, 25, 6, –, -, 135, 19.2, 10.4, 2.8
42, 33.91, 321.78, 75, 19, –, -, 78, 20.3, 14.0, 2.7
43, 18.46, 77.54, 100, 25, 398, 80, 252, 49.9, 6.2, 1.1
44, 35.53, 202.10, 70, 18, 178, 36, 138, 18.7, 11.8, 2.9
45, 35.52, 202.02, 140, 35, 542, 108, 134, 17.0, 17.6, 3.2
46, 35.49, 202.05, 150, 38, 324, 65, 150, 3.3, 9.1, 16.4
47, 35.45, 202.11, 180, 45, 552, 110, 125, 34.4, 12.5, 1.6
